Date;Price
06/18/2024;64,981.7
06/17/2024;66,498.8
06/16/2024;66,674.7
06/15/2024;66,223.0
06/14/2024;66,034.8
06/13/2024;66,773.1
06/12/2024;68,260.1
06/11/2024;67,319.8
06/10/2024;69,538.2
06/09/2024;69,650.6
06/08/2024;69,310.1
06/07/2024;69,347.9
06/06/2024;70,791.5
06/05/2024;71,083.7
06/04/2024;70,549.2
06/03/2024;68,807.8
06/02/2024;67,773.5
06/01/2024;67,760.8
05/31/2024;67,530.1
05/30/2024;68,354.7
05/29/2024;67,635.8
05/28/2024;68,366.0
05/27/2024;69,428.7
05/26/2024;68,514.8
05/25/2024;69,284.4
05/24/2024;68,547.6
05/23/2024;67,975.7
05/22/2024;69,155.4
05/21/2024;70,139.9
05/20/2024;71,422.7
05/19/2024;66,279.1
05/18/2024;66,917.5
05/17/2024;67,036.8
05/16/2024;65,231.0
05/15/2024;66,225.1
05/14/2024;61,569.4
05/13/2024;62,937.2
05/12/2024;61,480.0
05/11/2024;60,826.6
05/10/2024;60,796.9
05/09/2024;63,075.0
05/08/2024;61,207.5
05/07/2024;62,317.7
05/06/2024;63,163.1
05/05/2024;64,006.4
05/04/2024;63,888.3
05/03/2024;62,877.5
05/02/2024;59,121.3
05/01/2024;58,331.2
04/30/2024;60,666.6
04/29/2024;63,860.1
04/28/2024;63,109.7
04/27/2024;63,456.8
04/26/2024;63,766.4
04/25/2024;64,497.1
04/24/2024;64,285.7
04/23/2024;66,415.0
04/22/2024;66,829.3
04/21/2024;64,940.2
04/20/2024;64,961.1
04/19/2024;63,799.1
04/18/2024;63,481.4
04/17/2024;61,278.9
04/16/2024;63,805.3
04/15/2024;63,411.9
04/14/2024;65,697.4
04/13/2024;63,849.9
04/12/2024;67,151.9
04/11/2024;70,011.6
04/10/2024;70,622.1
04/09/2024;69,148.0
04/08/2024;71,630.1
04/07/2024;69,360.4
04/06/2024;68,890.6
04/05/2024;67,830.6
04/04/2024;68,496.5
04/03/2024;65,963.0
04/02/2024;65,439.2
04/01/2024;69,664.4
03/31/2024;71,332.0
03/30/2024;69,611.5
03/29/2024;69,871.7
03/28/2024;70,762.1
03/27/2024;69,442.4
03/26/2024;69,999.3
03/25/2024;69,892.0
03/24/2024;67,211.9
03/23/2024;64,037.8
03/22/2024;63,785.5
03/21/2024;65,503.8
03/20/2024;67,854.0
03/19/2024;62,050.0
03/18/2024;67,594.1
03/17/2024;68,391.2
03/16/2024;65,314.2
03/15/2024;69,463.7
03/14/2024;71,387.5
03/13/2024;73,066.3
03/12/2024;71,470.2
03/11/2024;72,099.1
03/10/2024;68,964.8
03/09/2024;68,366.5
03/08/2024;68,172.0
03/07/2024;66,855.3
