Tanggal;HARGA
19/06/2024;65.505,70
18/06/2024;65.159,90
17/06/2024;66.498,80
16/06/2024;66.674,70
15/06/2024;66.223,00
14/06/2024;66.034,80
13/06/2024;66.773,10
12/06/2024;68.260,10
11/06/2024;67.319,80
10/06/2024;69.538,20
09/06/2024;69.650,60
08/06/2024;69.310,10
07/06/2024;69.347,90
06/06/2024;70.791,50
05/06/2024;71.083,70
04/06/2024;70.549,20
03/06/2024;68.807,80
02/06/2024;67.773,50
01/06/2024;67.760,80
31/05/2024;67.530,10
30/05/2024;68.354,70
29/05/2024;67.635,80
28/05/2024;68.366,00
27/05/2024;69.428,70
26/05/2024;68.514,80
25/05/2024;69.284,40
24/05/2024;68.547,60
23/05/2024;67.975,70
22/05/2024;69.155,40
21/05/2024;70.139,90
20/05/2024;71.422,70
19/05/2024;66.279,10
18/05/2024;66.917,50
17/05/2024;67.036,80
16/05/2024;65.231,00
15/05/2024;66.225,10
14/05/2024;61.569,40
13/05/2024;62.937,20
12/05/2024;61.480,00
11/05/2024;60.826,60
10/05/2024;60.796,90
09/05/2024;63.075,00
08/05/2024;61.207,50
07/05/2024;62.317,70
06/05/2024;63.163,10
05/05/2024;64.006,40
04/05/2024;63.888,30
03/05/2024;62.877,50
02/05/2024;59.121,30
01/05/2024;58.331,20
30/04/2024;60.666,60
29/04/2024;63.860,10
28/04/2024;63.109,70
27/04/2024;63.456,80
26/04/2024;63.766,40
25/04/2024;64.497,10
24/04/2024;64.285,70
23/04/2024;66.415,00
22/04/2024;66.829,30
21/04/2024;64.940,20
20/04/2024;64.961,10
19/04/2024;63.799,10
18/04/2024;63.481,40
17/04/2024;61.278,90
16/04/2024;63.805,30
15/04/2024;63.411,90
14/04/2024;65.697,40
13/04/2024;63.849,90
12/04/2024;67.151,90
11/04/2024;70.011,60
10/04/2024;70.622,10
09/04/2024;69.148,00
08/04/2024;71.630,10
07/04/2024;69.360,40
06/04/2024;68.890,60
05/04/2024;67.830,60
04/04/2024;68.496,50
03/04/2024;65.963,00
02/04/2024;65.439,20
01/04/2024;69.664,40
31/03/2024;71.332,00
30/03/2024;69.611,50
29/03/2024;69.871,70
28/03/2024;70.762,10
27/03/2024;69.442,40
26/03/2024;69.999,30
25/03/2024;69.892,00
24/03/2024;67.211,90
23/03/2024;64.037,80
22/03/2024;63.785,50
21/03/2024;65.503,80
20/03/2024;67.854,00
19/03/2024;62.050,00
18/03/2024;67.594,10
17/03/2024;68.391,20
16/03/2024;65.314,20
15/03/2024;69.463,70
14/03/2024;71.387,50
13/03/2024;73.066,30
12/03/2024;71.470,20
11/03/2024;72.099,10
10/03/2024;68.964,80
09/03/2024;68.366,50
08/03/2024;68.172,00
07/03/2024;66.855,30
06/03/2024;66.080,40
05/03/2024;63.792,60
04/03/2024;68.270,10
03/03/2024;63.135,80
02/03/2024;61.994,50
01/03/2024;62.397,70
29/02/2024;61.169,30
28/02/2024;62.467,60
27/02/2024;57.056,20
26/02/2024;54.495,10
25/02/2024;51.722,70
24/02/2024;51.571,60
23/02/2024;50.740,50
22/02/2024;51.320,40
21/02/2024;51.858,20
20/02/2024;52.263,50
19/02/2024;51.783,60
18/02/2024;52.117,50
17/02/2024;51.646,00
16/02/2024;52.134,20
15/02/2024;51.901,30
14/02/2024;51.782,40
13/02/2024;49.716,00
12/02/2024;49.941,30
11/02/2024;48.277,30
